vessel,ljung_box_lag,ljung_box_pvalue
Fartøy 1,12.0,0.27868843191645315
Fartøy 10,12.0,0.6152950922342817
Fartøy 11,12.0,0.9587159803566266
Fartøy 12,12.0,0.9413106425456124
Fartøy 13,,
Fartøy 14,12.0,0.9999998372227147
Fartøy 15,12.0,0.42179411188054905
Fartøy 2,12.0,0.026984186987033747
Fartøy 3,12.0,0.9991995306350892
Fartøy 4,12.0,0.9928858578942185
Fartøy 5,12.0,0.8904683485958298
Fartøy 6,12.0,0.9998699675501621
Fartøy 7,12.0,0.020482995105493614
Fartøy 8,12.0,0.32834113692946437
Fartøy 9,12.0,0.9999999999855608
