Fartøy,Observasjoner,Gjennomsnitt_offhire_pct,Median_offhire_pct,Maks_offhire_pct,Andel_nullmåneder_pct,Første_måned,Siste_måned
Fartøy 10,60,16.86,0.0,100.0,56.67,2021-04,2026-03
Fartøy 8,60,15.53,0.0,93.0,58.33,2021-04,2026-03
Fartøy 2,60,15.43,0.0,100.0,68.33,2021-04,2026-03
Fartøy 9,60,7.34,0.0,100.0,88.33,2021-04,2026-03
Fartøy 5,60,6.97,0.0,88.0,76.67,2021-04,2026-03
Fartøy 11,60,6.47,0.0,63.81,78.33,2021-04,2026-03
Fartøy 1,60,5.8,0.0,67.0,71.67,2021-04,2026-03
Fartøy 4,60,5.4,0.0,84.0,81.67,2021-04,2026-03
Fartøy 7,60,4.35,0.0,98.0,86.67,2021-04,2026-03
Fartøy 6,60,2.52,0.0,96.0,90.0,2021-04,2026-03
Fartøy 15,60,1.28,0.0,31.0,95.0,2021-04,2026-03
Fartøy 3,60,1.16,0.0,34.4,91.67,2021-04,2026-03
Fartøy 12,60,0.91,0.0,28.0,93.33,2021-04,2026-03
Fartøy 14,60,0.22,0.0,13.0,98.33,2021-04,2026-03
Fartøy 13,60,0.0,0.0,0.0,100.0,2021-04,2026-03
Fartøy 16,2,0.0,0.0,0.0,100.0,2026-02,2026-03
